NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
21100;1;3.548e-06;1;
21200;1;3.647e-06;1;
21300;1;3.597e-06;1;
21400;1;3.645e-06;1;
21500;1;3.868e-06;1;
21600;1;4.066e-06;1;
21700;1;3.867e-06;1;
21800;1;3.821e-06;1;
21900;1;4.752e-06;1;
22000;1;3.911e-06;1;
22100;1;3.959e-06;1;
22200;1;3.932e-06;1;
22300;1;4.029e-06;1;
22400;1;3.911e-06;1;
22500;1;4.038e-06;1;
22600;1;4.275e-06;1;
22700;1;4.363e-06;1;
22800;1;3.889e-06;1;
22900;1;3.806e-06;1;
23000;1;3.929e-06;1;
23100;1;4.301e-06;1;
23200;1;3.949e-06;1;
23300;1;4.013e-06;1;
23400;1;4.064e-06;1;
23500;1;4.309e-06;1;
23600;1;4.166e-06;1;
23700;1;4.485e-06;1;
23800;1;3.97e-06;1;
23900;1;3.838e-06;1;
24000;1;3.834e-06;1;
24100;1;4.014e-06;1;
24200;1;4.744e-06;1;
24300;1;3.952e-06;1;
24400;1;3.907e-06;1;
24500;1;3.612e-06;1;
24600;1;3.46e-06;1;
24700;1;3.864e-06;1;
24800;1;3.501e-06;1;
24900;1;3.571e-06;1;
25000;1;3.7e-06;1;
25100;1;3.555e-06;1;
25200;1;3.682e-06;1;
25300;1;3.71e-06;1;
25400;1;3.566e-06;1;
25500;1;3.623e-06;1;
25600;1;3.645e-06;1;
25700;1;3.584e-06;1;
25800;1;3.419e-06;1;
25900;1;3.578e-06;1;
26000;1;3.488e-06;1;
26100;1;3.585e-06;1;
26200;1;3.645e-06;1;
26300;1;3.311e-06;1;
26400;1;3.428e-06;1;
26500;1;3.887e-06;1;
26600;1;3.512e-06;1;
26700;1;3.699e-06;1;
26800;1;3.468e-06;1;
26900;1;3.578e-06;1;
27000;1;3.634e-06;1;
27100;1;3.492e-06;1;
27200;1;3.613e-06;1;
27300;1;3.67e-06;1;
27400;1;3.725e-06;1;
27500;1;3.683e-06;1;
27600;1;3.898e-06;1;
27700;1;3.575e-06;1;
27800;1;3.605e-06;1;
27900;1;3.74e-06;1;
28000;1;3.64e-06;1;
28100;1;3.687e-06;1;
28200;1;3.505e-06;1;
28300;1;3.496e-06;1;
28400;1;3.498e-06;1;
28500;1;3.68e-06;1;
28600;1;3.661e-06;1;
28700;1;3.71e-06;1;
28800;1;3.63e-06;1;
28900;1;3.595e-06;1;
29000;1;3.535e-06;1;
29100;1;3.677e-06;1;
29200;1;3.547e-06;1;
29300;1;3.635e-06;1;
29400;1;3.761e-06;1;
29500;1;3.637e-06;1;
29600;1;3.62e-06;1;
29700;1;3.575e-06;1;
29800;1;3.695e-06;1;
29900;1;3.648e-06;1;
30000;1;3.703e-06;1;
30100;1;3.46e-06;1;
30200;1;3.395e-06;1;
30300;1;3.448e-06;1;
30400;1;3.528e-06;1;
30500;1;3.502e-06;1;
30600;1;3.487e-06;1;
30700;1;3.488e-06;1;
30800;1;3.403e-06;1;
30900;1;3.557e-06;1;
31000;1;3.289e-06;1;
31100;1;3.277e-06;1;
31200;1;4.191e-06;1;
31300;1;3.695e-06;1;
31400;1;4.856e-06;1;
31500;1;3.825e-06;1;
31600;1;3.507e-06;1;
31700;1;3.492e-06;1;
31800;1;3.515e-06;1;
31900;1;3.517e-06;1;
32000;1;3.48e-06;1;
32100;1;3.573e-06;1;
32200;1;3.486e-06;1;
32300;1;3.468e-06;1;
32400;1;3.925e-06;1;
32500;1;3.568e-06;1;
32600;1;3.448e-06;1;
32700;1;3.709e-06;1;
32800;1;3.635e-06;1;
32900;1;3.635e-06;1;
33000;1;3.44e-06;1;
33100;1;3.413e-06;1;
33200;1;3.446e-06;1;
33300;1;3.496e-06;1;
33400;1;3.61e-06;1;
33500;1;3.706e-06;1;
33600;1;3.543e-06;1;
33700;1;3.591e-06;1;
33800;1;3.556e-06;1;
33900;1;3.558e-06;1;
34000;1;3.533e-06;1;
34100;1;3.568e-06;1;
34200;1;3.515e-06;1;
34300;1;3.605e-06;1;
34400;1;3.524e-06;1;
34500;1;3.432e-06;1;
34600;1;3.695e-06;1;
34700;1;3.542e-06;1;
34800;1;3.64e-06;1;
34900;1;3.635e-06;1;
35000;1;3.593e-06;1;
35100;1;3.596e-06;1;
35200;1;3.652e-06;1;
35300;1;3.426e-06;1;
35400;1;3.613e-06;1;
35500;1;3.752e-06;1;
35600;1;3.668e-06;1;
35700;1;3.694e-06;1;
35800;1;3.475e-06;1;
35900;1;3.647e-06;1;
36000;1;3.595e-06;1;
36100;1;3.595e-06;1;
36200;1;3.547e-06;1;
36300;1;3.575e-06;1;
36400;1;3.598e-06;1;
36500;1;3.578e-06;1;
36600;1;3.617e-06;1;
36700;1;3.478e-06;1;
36800;1;3.544e-06;1;
36900;1;3.538e-06;1;
37000;1;3.566e-06;1;
37100;1;3.523e-06;1;
37200;1;3.541e-06;1;
37300;1;3.502e-06;1;
37400;1;3.553e-06;1;
37500;1;2.5292e-05;1;
37600;1;3.46e-06;1;
37700;1;3.401e-06;1;
37800;1;3.357e-06;1;
37900;1;3.478e-06;1;
38000;1;3.364e-06;1;
38100;1;3.174e-06;1;
38200;1;3.284e-06;1;
38300;1;3.241e-06;1;
38400;1;3.315e-06;1;
38500;1;3.268e-06;1;
38600;1;3.354e-06;1;
38700;1;3.265e-06;1;
38800;1;3.247e-06;1;
38900;1;3.244e-06;1;
39000;1;3.258e-06;1;
39100;1;3.248e-06;1;
39200;1;3.328e-06;1;
39300;1;3.386e-06;1;
39400;1;3.269e-06;1;
39500;1;3.253e-06;1;
39600;1;3.219e-06;1;
39700;1;3.237e-06;1;
39800;1;3.297e-06;1;
39900;1;3.29e-06;1;
40000;1;3.224e-06;1;
40100;1;3.309e-06;1;
40200;1;3.193e-06;1;
40300;1;3.199e-06;1;
40400;1;3.301e-06;1;
40500;1;3.358e-06;1;
40600;1;3.264e-06;1;
40700;1;3.212e-06;1;
40800;1;3.207e-06;1;
40900;1;3.191e-06;1;
41000;1;3.227e-06;1;
41100;1;3.297e-06;1;
41200;1;3.174e-06;1;
41300;1;3.265e-06;1;
41400;1;3.237e-06;1;
41500;1;3.282e-06;1;
41600;1;3.199e-06;1;
41700;1;3.273e-06;1;
41800;1;3.294e-06;1;
41900;1;3.453e-06;1;
42000;1;3.312e-06;1;
42100;1;3.406e-06;1;
42200;1;3.466e-06;1;
42300;1;3.502e-06;1;
42400;1;3.423e-06;1;
42500;1;3.463e-06;1;
42600;1;3.244e-06;1;
42700;1;3.349e-06;1;
42800;1;3.184e-06;1;
42900;1;3.336e-06;1;
43000;1;3.224e-06;1;
43100;1;3.349e-06;1;
43200;1;3.269e-06;1;
43300;1;3.324e-06;1;
43400;1;3.229e-06;1;
43500;1;3.169e-06;1;
43600;1;3.116e-06;1;
43700;1;3.234e-06;1;
43800;1;3.114e-06;1;
43900;1;3.179e-06;1;
44000;1;3.209e-06;1;
44100;1;3.129e-06;1;
44200;1;3.248e-06;1;
44300;1;3.202e-06;1;
44400;1;3.165e-06;1;
44500;1;3.239e-06;1;
44600;1;3.135e-06;1;
44700;1;3.234e-06;1;
44800;1;8.488e-06;1;
44900;1;4.077e-06;1;
45000;1;3.74e-06;1;
45100;1;3.713e-06;1;
45200;1;3.217e-06;1;
45300;1;3.615e-06;1;
45400;1;3.408e-06;1;
45500;1;3.246e-06;1;
45600;1;3.41e-06;1;
45700;1;3.368e-06;1;
45800;1;3.617e-06;1;
45900;1;3.416e-06;1;
46000;1;3.375e-06;1;
46100;1;3.374e-06;1;
46200;1;3.343e-06;1;
46300;1;3.326e-06;1;
46400;1;3.346e-06;1;
46500;1;3.349e-06;1;
46600;1;3.328e-06;1;
46700;1;3.38e-06;1;
46800;1;3.339e-06;1;
46900;1;3.072e-06;1;
47000;1;3.226e-06;1;
47100;1;3.617e-06;1;
47200;1;3.688e-06;1;
47300;1;3.548e-06;1;
47400;1;3.567e-06;1;
47500;1;3.424e-06;1;
47600;1;3.486e-06;1;
47700;1;3.496e-06;1;
47800;1;3.61e-06;1;
47900;1;3.501e-06;1;
48000;1;3.595e-06;1;
48100;1;3.521e-06;1;
48200;1;3.321e-06;1;
48300;1;3.54e-06;1;
48400;1;3.59e-06;1;
48500;1;3.588e-06;1;
48600;1;3.495e-06;1;
48700;1;3.43e-06;1;
48800;1;3.29e-06;1;
48900;1;3.31e-06;1;
49000;1;3.477e-06;1;
49100;1;3.664e-06;1;
49200;1;3.537e-06;1;
49300;1;3.568e-06;1;
49400;1;3.552e-06;1;
49500;1;3.625e-06;1;
49600;1;3.58e-06;1;
49700;1;3.777e-06;1;
49800;1;3.605e-06;1;
49900;1;3.438e-06;1;
50000;1;3.259e-06;1;
50100;1;3.692e-06;1;
50200;1;3.493e-06;1;
50300;1;3.633e-06;1;
50400;1;3.51e-06;1;
50500;1;3.485e-06;1;
50600;1;3.259e-06;1;
50700;1;3.331e-06;1;
50800;1;3.689e-06;1;
50900;1;3.534e-06;1;
51000;1;3.75e-06;1;
51100;1;3.537e-06;1;
51200;1;3.647e-06;1;
51300;1;3.538e-06;1;
51400;1;3.609e-06;1;
51500;1;3.678e-06;1;
51600;1;3.353e-06;1;
51700;1;3.179e-06;1;
51800;1;3.479e-06;1;
51900;1;3.605e-06;1;
52000;1;3.505e-06;1;
52100;1;3.57e-06;1;
52200;1;3.341e-06;1;
52300;1;3.31e-06;1;
52400;1;8.386e-06;1;
52500;1;4.001e-06;1;
52600;1;3.518e-06;1;
52700;1;3.194e-06;1;
52800;1;3.411e-06;1;
52900;1;3.861e-06;1;
53000;1;3.182e-06;1;
53100;1;3.299e-06;1;
53200;1;9.777e-06;1;
53300;1;3.67e-06;1;
53400;1;3.638e-06;1;
53500;1;3.649e-06;1;
53600;1;3.677e-06;1;
53700;1;3.353e-06;1;
53800;1;3.122e-06;1;
53900;1;3.399e-06;1;
54000;1;3.976e-06;1;
54100;1;3.366e-06;1;
54200;1;2.97e-06;1;
54300;1;3.154e-06;1;
54400;1;3.178e-06;1;
54500;1;3.444e-06;1;
54600;1;3.161e-06;1;
54700;1;3.205e-06;1;
54800;1;3.211e-06;1;
54900;1;3.159e-06;1;
55000;1;3.518e-06;1;
55100;1;3.203e-06;1;
55200;1;3.082e-06;1;
55300;1;3.165e-06;1;
55400;1;3.207e-06;1;
55500;1;3.192e-06;1;
55600;1;3.126e-06;1;
55700;1;3.051e-06;1;
55800;1;3.229e-06;1;
55900;1;3.56e-06;1;
56000;1;3.267e-06;1;
56100;1;3.793e-06;1;
56200;1;3.585e-06;1;
56300;1;3.168e-06;1;
56400;1;3.206e-06;1;
56500;1;3.047e-06;1;
56600;1;3.118e-06;1;
56700;1;3.092e-06;1;
56800;1;3.224e-06;1;
56900;1;3.212e-06;1;
57000;1;3.293e-06;1;
57100;1;3.119e-06;1;
57200;1;3.184e-06;1;
57300;1;3.237e-06;1;
57400;1;3.158e-06;1;
57500;1;3.184e-06;1;
57600;1;3.178e-06;1;
57700;1;3.351e-06;1;
57800;1;3.371e-06;1;
57900;1;3.397e-06;1;
58000;1;3.302e-06;1;
58100;1;3.194e-06;1;
58200;1;3.221e-06;1;
58300;1;3.204e-06;1;
58400;1;3.119e-06;1;
58500;1;3.136e-06;1;
58600;1;3.218e-06;1;
58700;1;3.229e-06;1;
58800;1;3.26e-06;1;
58900;1;3.224e-06;1;
59000;1;3.12e-06;1;
59100;1;3.14e-06;1;
59200;1;3.311e-06;1;
59300;1;3.493e-06;1;
59400;1;3.286e-06;1;
59500;1;3.172e-06;1;
59600;1;3.276e-06;1;
59700;1;3.186e-06;1;
59800;1;3.295e-06;1;
59900;1;3.174e-06;1;
60000;1;8.418e-06;1;
60100;1;4.158e-06;1;
60200;1;3.475e-06;1;
60300;1;3.427e-06;1;
60400;1;3.022e-06;1;
60500;1;3.325e-06;1;
60600;1;3.186e-06;1;
60700;1;3.634e-06;1;
60800;1;3.104e-06;1;
60900;1;3.177e-06;1;
61000;1;2.953e-06;1;
61100;1;2.979e-06;1;
61200;1;3.141e-06;1;
61300;1;3.278e-06;1;
61400;1;3.293e-06;1;
61500;1;3.147e-06;1;
61600;1;3.149e-06;1;
61700;1;3.284e-06;1;
61800;1;3.409e-06;1;
61900;1;3.147e-06;1;
62000;1;3.229e-06;1;
62100;1;3.069e-06;1;
62200;1;3.279e-06;1;
62300;1;3.52e-06;1;
62400;1;2.977e-06;1;
62500;1;2.822e-06;1;
62600;1;2.98e-06;1;
62700;1;3.144e-06;1;
62800;1;0.000130691;1;
62900;1;4.633e-06;1;
63000;1;3.149e-06;1;
63100;1;3.468e-06;1;
63200;1;3.644e-06;1;
63300;1;6.901e-06;1;
63400;1;4.405e-06;1;
63500;1;3.616e-06;1;
63600;1;3.146e-06;1;
63700;1;3.202e-06;1;
63800;1;3.154e-06;1;
63900;1;3.068e-06;1;
64000;1;3.02e-06;1;
64100;1;3.518e-06;1;
64200;1;3.351e-06;1;
64300;1;3.965e-06;1;
64400;1;3.276e-06;1;
64500;1;3.039e-06;1;
64600;1;3.328e-06;1;
64700;1;3.336e-06;1;
64800;1;3.343e-06;1;
64900;1;3.639e-06;1;
65000;1;3.53e-06;1;
65100;1;3.082e-06;1;
65200;1;3.349e-06;1;
65300;1;3.469e-06;1;
65400;1;3.293e-06;1;
65500;1;3.406e-06;1;
65600;1;4.556e-06;1;
65700;1;5.374e-06;1;
65800;1;3.514e-06;1;
65900;1;6.7871e-05;1;
66000;1;4.635e-06;1;
66100;1;3.875e-06;1;
66200;1;3.713e-06;1;
66300;1;4.483e-06;1;
66400;1;3.635e-06;1;
66500;1;3.351e-06;1;
66600;1;3.231e-06;1;
66700;1;3.365e-06;1;
66800;1;3.191e-06;1;
66900;1;3.503e-06;1;
67000;1;3.478e-06;1;
67100;1;3.48e-06;1;
67200;1;3.7e-06;1;
67300;1;3.49e-06;1;
67400;1;3.478e-06;1;
67500;1;3.346e-06;1;
67600;1;3.61e-06;1;
67700;1;3.394e-06;1;
67800;1;3.789e-06;1;
67900;1;3.555e-06;1;
68000;1;3.932e-06;1;
68100;1;3.553e-06;1;
68200;1;3.646e-06;1;
68300;1;3.466e-06;1;
68400;1;3.455e-06;1;
68500;1;3.682e-06;1;
68600;1;3.443e-06;1;
68700;1;3.597e-06;1;
68800;1;3.438e-06;1;
68900;1;3.795e-06;1;
69000;1;3.595e-06;1;
69100;1;3.488e-06;1;
69200;1;3.476e-06;1;
69300;1;3.478e-06;1;
69400;1;3.679e-06;1;
69500;1;3.675e-06;1;
69600;1;3.984e-06;1;
69700;1;3.413e-06;1;
69800;1;3.398e-06;1;
69900;1;3.611e-06;1;
70000;1;3.443e-06;1;
70100;1;3.622e-06;1;
70200;1;3.434e-06;1;
70300;1;3.829e-06;1;
70400;1;3.198e-06;1;
70500;1;4.07e-06;1;
70600;1;3.141e-06;1;
70700;1;3.141e-06;1;
70800;1;2.904e-06;1;
70900;1;3.007e-06;1;
71000;1;2.96e-06;1;
71100;1;2.998e-06;1;
71200;1;3.08e-06;1;
71300;1;3.379e-06;1;
71400;1;3.132e-06;1;
71500;1;3.495e-06;1;
71600;1;3.667e-06;1;
71700;1;3.592e-06;1;
71800;1;3.833e-06;1;
71900;1;3.637e-06;1;
72000;1;3.462e-06;1;
72100;1;3.478e-06;1;
72200;1;3.735e-06;1;
72300;1;3.605e-06;1;
72400;1;3.671e-06;1;
72500;1;3.533e-06;1;
72600;1;3.612e-06;1;
72700;1;3.533e-06;1;
72800;1;3.914e-06;1;
72900;1;3.528e-06;1;
73000;1;3.515e-06;1;
73100;1;3.617e-06;1;
73200;1;3.513e-06;1;
73300;1;3.905e-06;1;
73400;1;3.529e-06;1;
73500;1;3.441e-06;1;
73600;1;3.685e-06;1;
73700;1;3.431e-06;1;
73800;1;3.179e-06;1;
73900;1;4.422e-06;1;
74000;1;3.147e-06;1;
74100;1;3.07e-06;1;
74200;1;3.605e-06;1;
74300;1;3.137e-06;1;
74400;1;3.045e-06;1;
74500;1;3.623e-06;1;
74600;1;3.405e-06;1;
74700;1;3.416e-06;1;
74800;1;3.608e-06;1;
74900;1;3.458e-06;1;
75000;1;3.772e-06;1;
75100;1;3.576e-06;1;
75200;1;8.202e-06;1;
75300;1;4.455e-06;1;
75400;1;3.752e-06;1;
75500;1;3.369e-06;1;
75600;1;4.079e-06;1;
75700;1;3.31e-06;1;
75800;1;3.598e-06;1;
75900;1;3.296e-06;1;
76000;1;3.24e-06;1;
76100;1;3.442e-06;1;
76200;1;3.446e-06;1;
76300;1;3.56e-06;1;
76400;1;3.368e-06;1;
76500;1;3.348e-06;1;
76600;1;3.367e-06;1;
76700;1;3.279e-06;1;
76800;1;3.452e-06;1;
76900;1;3.394e-06;1;
77000;1;3.572e-06;1;
77100;1;3.465e-06;1;
77200;1;3.478e-06;1;
77300;1;3.371e-06;1;
77400;1;3.657e-06;1;
77500;1;3.674e-06;1;
77600;1;3.328e-06;1;
77700;1;3.378e-06;1;
77800;1;3.941e-06;1;
77900;1;3.393e-06;1;
78000;1;3.472e-06;1;
78100;1;3.274e-06;1;
78200;1;3.287e-06;1;
78300;1;2.977e-06;1;
78400;1;3.258e-06;1;
78500;1;3.291e-06;1;
78600;1;3.281e-06;1;
78700;1;3.172e-06;1;
78800;1;3.004e-06;1;
78900;1;3.089e-06;1;
79000;1;3.071e-06;1;
79100;1;3.223e-06;1;
79200;1;3.287e-06;1;
79300;1;3.157e-06;1;
79400;1;3.293e-06;1;
79500;1;3.288e-06;1;
79600;1;3.139e-06;1;
79700;1;3.164e-06;1;
79800;1;3.295e-06;1;
79900;1;3.266e-06;1;
80000;1;3.151e-06;1;
80100;1;3.582e-06;1;
80200;1;3.356e-06;1;
80300;1;3.333e-06;1;
80400;1;3.402e-06;1;
80500;1;3.307e-06;1;
80600;1;3.233e-06;1;
80700;1;3.278e-06;1;
80800;1;4.014e-06;1;
80900;1;3.152e-06;1;
81000;1;3.187e-06;1;
81100;1;4.258e-06;1;
81200;1;3.047e-06;1;
81300;1;3.02e-06;1;
81400;1;4.13e-06;1;
81500;1;3.983e-06;1;
81600;1;3.47e-06;1;
81700;1;3.385e-06;1;
81800;1;3.114e-06;1;
81900;1;3.689e-06;1;
82000;1;3.327e-06;1;
82100;1;3.402e-06;1;
82200;1;3.243e-06;1;
82300;1;3.235e-06;1;
82400;1;3.324e-06;1;
82500;1;3.338e-06;1;
82600;1;3.488e-06;1;
82700;1;3.457e-06;1;
82800;1;7.693e-06;1;
82900;1;3.491e-06;1;
83000;1;3.352e-06;1;
83100;1;3.333e-06;1;
83200;1;3.362e-06;1;
83300;1;3.266e-06;1;
83400;1;3.344e-06;1;
83500;1;3.289e-06;1;
83600;1;3.366e-06;1;
83700;1;3.298e-06;1;
83800;1;3.276e-06;1;
83900;1;3.351e-06;1;
84000;1;3.308e-06;1;
84100;1;3.379e-06;1;
84200;1;3.317e-06;1;
84300;1;3.277e-06;1;
84400;1;3.327e-06;1;
84500;1;3.297e-06;1;
84600;1;3.301e-06;1;
84700;1;3.338e-06;1;
84800;1;3.287e-06;1;
84900;1;3.382e-06;1;
85000;1;3.316e-06;1;
85100;1;3.327e-06;1;
85200;1;3.353e-06;1;
85300;1;3.259e-06;1;
85400;1;3.342e-06;1;
85500;1;3.316e-06;1;
85600;1;3.286e-06;1;
85700;1;3.344e-06;1;
85800;1;3.249e-06;1;
85900;1;4.183e-06;1;
86000;1;3.605e-06;1;
86100;1;3.156e-06;1;
86200;1;3.256e-06;1;
86300;1;3.526e-06;1;
86400;1;3.291e-06;1;
86500;1;4.215e-06;1;
86600;1;3.315e-06;1;
86700;1;3.263e-06;1;
86800;1;3.448e-06;1;
86900;1;3.304e-06;1;
87000;1;3.236e-06;1;
87100;1;3.379e-06;1;
87200;1;3.358e-06;1;
87300;1;3.331e-06;1;
87400;1;3.297e-06;1;
87500;1;3.292e-06;1;
87600;1;3.361e-06;1;
87700;1;3.316e-06;1;
87800;1;3.299e-06;1;
87900;1;3.293e-06;1;
88000;1;3.187e-06;1;
88100;1;3.38e-06;1;
88200;1;3.242e-06;1;
88300;1;3.224e-06;1;
88400;1;3.332e-06;1;
88500;1;3.245e-06;1;
88600;1;3.195e-06;1;
88700;1;3.351e-06;1;
88800;1;3.254e-06;1;
88900;1;3.274e-06;1;
89000;1;3.309e-06;1;
89100;1;3.258e-06;1;
89200;1;3.252e-06;1;
89300;1;3.347e-06;1;
89400;1;3.229e-06;1;
89500;1;3.264e-06;1;
89600;1;3.315e-06;1;
89700;1;3.256e-06;1;
89800;1;3.258e-06;1;
89900;1;3.349e-06;1;
90000;1;3.257e-06;1;
90100;1;3.291e-06;1;
90200;1;3.34e-06;1;
90300;1;3.207e-06;1;
90400;1;3.287e-06;1;
90500;1;3.396e-06;1;
90600;1;2.965e-06;1;
90700;1;3.37e-06;1;
90800;1;3.377e-06;1;
90900;1;3.247e-06;1;
91000;1;3.279e-06;1;
91100;1;3.661e-06;1;
91200;1;3.321e-06;1;
91300;1;3.34e-06;1;
91400;1;3.262e-06;1;
91500;1;3.27e-06;1;
91600;1;3.344e-06;1;
91700;1;3.279e-06;1;
91800;1;3.282e-06;1;
91900;1;3.329e-06;1;
92000;1;3.286e-06;1;
92100;1;3.242e-06;1;
92200;1;3.383e-06;1;
92300;1;3.333e-06;1;
92400;1;3.308e-06;1;
92500;1;3.366e-06;1;
92600;1;3.301e-06;1;
92700;1;3.249e-06;1;
92800;1;3.371e-06;1;
