NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
0;10;0.000439745;0.0909091;
100;10;0.000254463;0.0909091;
200;10;0.000183586;0.0909091;
300;10;5.7286e-05;0.0909091;
400;10;0.00136004;0.0909091;
500;10;0.000129446;0.0909091;
600;10;7.9345e-05;0.0909091;
700;10;0.000113378;0.0909091;
800;10;0.000120557;0.0909091;
900;10;5.8081e-05;0.0909091;
1000;10;4.7608e-05;0.0909091;
1100;10;0.000192564;0.0909091;
1200;10;0.00269156;1;
1300;10;0.00144697;1;
1400;10;0.000548601;1;
1500;10;0.00110855;1;
1600;10;0.00127834;1;
1700;10;0.00163392;1;
1800;10;0.00065081;1;
1900;10;0.000826013;1;
2000;10;0.00176034;1;
2100;10;0.000147981;1;
2200;10;0.000157629;1;
2300;10;0.00010681;1;
2400;10;0.00161091;1;
2500;10;7.7454e-05;1;
2600;10;7.635e-05;1;
2700;10;7.7624e-05;1;
2800;10;7.6041e-05;1;
2900;10;7.1787e-05;1;
3000;10;7.0314e-05;1;
3100;10;7.1442e-05;1;
3200;10;6.817e-05;1;
3300;10;0.00024451;1;
3400;10;8.0969e-05;1;
3500;10;7.4854e-05;1;
3600;10;7.4282e-05;1;
3700;10;6.6774e-05;1;
3800;10;6.4066e-05;1;
3900;10;5.5592e-05;1;
4000;10;0.000101899;1;
4100;10;0.000128404;1;
4200;10;5.3975e-05;1;
4300;10;5.366e-05;1;
4400;10;0.000564589;1;
4500;10;7.4805e-05;1;
4600;10;5.9693e-05;1;
4700;10;6.203e-05;1;
4800;10;7.4895e-05;1;
4900;10;6.961e-05;1;
5000;10;6.4377e-05;1;
5100;10;6.3968e-05;1;
5200;10;6.3859e-05;1;
5300;10;6.778e-05;1;
5400;10;6.3618e-05;1;
5500;10;6.4018e-05;1;
5600;10;6.2738e-05;1;
5700;10;7.2823e-05;1;
5800;10;0.00043884;1;
5900;10;7.4782e-05;1;
6000;10;7.6417e-05;1;
6100;10;7.6973e-05;1;
6200;10;0.450318;1;
6300;10;0.000906931;1;
6400;10;0.00305028;1;
6500;10;0.0031802;1;
6600;10;0.00106929;1;
6700;10;0.00207933;1;
6800;10;0.00277453;1;
6900;10;0.000364907;1;
7000;10;0.00011579;1;
7100;10;0.000138894;1;
