NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
10000;3;0.261554;0.57735;
10000;3;3.648e-06;0.57735;
10000;3;2.195e-06;0.57735;
10000;3;2.191e-06;0.57735;
10000;3;2.143e-06;0.57735;
10000;3;2.095e-06;0.57735;
10000;3;2.223e-06;0.57735;
10000;3;2.165e-06;0.57735;
10000;3;2.171e-06;0.57735;
10000;3;2.157e-06;0.57735;
10000;3;2.235e-06;0.57735;
10000;3;2.132e-06;0.57735;
10000;3;2.218e-06;0.57735;
10000;3;2.142e-06;0.57735;
10000;3;2.209e-06;0.57735;
10000;3;2.189e-06;0.57735;
10000;3;2.221e-06;0.57735;
10000;3;2.126e-06;0.57735;
10000;3;2.152e-06;0.57735;
10000;3;2.107e-06;0.57735;
10000;3;2.225e-06;0.57735;
10000;3;2.197e-06;0.57735;
10000;3;2.166e-06;0.57735;
10000;3;2.172e-06;0.57735;
10000;3;2.198e-06;0.57735;
10000;3;2.162e-06;0.57735;
10000;3;2.157e-06;0.57735;
10000;3;2.147e-06;0.57735;
10000;3;2.17e-06;0.57735;
10000;3;2.14e-06;0.57735;
