NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
0;8;0.000243404;0.111111;
100;8;4.7735e-05;0.111111;
200;8;0.000521665;0.111111;
300;8;0.000350496;0.111111;
400;8;0.00148042;0.111111;
500;8;0.000176481;0.111111;
600;8;0.000502368;0.111111;
700;8;0.000120054;1;
800;8;0.00171823;1;
900;8;0.000184118;1;
1000;8;5.859e-05;1;
1100;8;8.7905e-05;1;
1200;8;8.2981e-05;1;
1300;8;0.000661041;1;
1400;8;0.000821373;1;
1500;8;5.4883e-05;1;
1600;8;5.8194e-05;1;
1700;8;6.2963e-05;1;
1800;8;5.9537e-05;1;
1900;8;5.794e-05;1;
2000;8;5.4163e-05;1;
2100;8;5.141e-05;1;
2200;8;5.2957e-05;1;
2300;8;5.1006e-05;1;
2400;8;5.2779e-05;1;
2500;8;5.3976e-05;1;
2600;8;5.3298e-05;1;
2700;8;5.3755e-05;1;
2800;8;5.3764e-05;1;
2900;8;5.5775e-05;1;
3000;8;0.000116876;1;
3100;8;4.9132e-05;1;
3200;8;2.4948e-05;1;
3300;8;2.3199e-05;1;
3400;8;4.3198e-05;1;
3500;8;5.663e-05;1;
3600;8;3.6746e-05;1;
3700;8;4.5166e-05;1;
3800;8;2.2478e-05;1;
3900;8;2.1373e-05;1;
4000;8;3.5294e-05;1;
4100;8;0.000781377;1;
4200;8;5.0385e-05;1;
4300;8;3.8613e-05;1;
4400;8;1.9844e-05;1;
4500;8;1.9057e-05;1;
4600;8;7.1412e-05;1;
4700;8;0.00391097;1;
4800;8;0.003694;1;
4900;8;4.7615e-05;1;
5000;8;3.1884e-05;1;
5100;8;5.2852e-05;1;
5200;8;0.325852;1;
5300;8;0.000344902;1;
5400;8;0.00406494;1;
5500;8;0.000669008;1;
5600;8;0.00121655;1;
5700;8;4.7792e-05;1;
5800;8;4.7854e-05;1;
5900;8;4.674e-05;1;
6000;8;4.6522e-05;1;
6100;8;4.5767e-05;1;
6200;8;4.5952e-05;1;
6300;8;4.621e-05;1;
6400;8;4.9646e-05;1;
6500;8;4.2623e-05;1;
6600;8;4.3621e-05;1;
6700;8;4.5435e-05;1;
6800;8;4.3946e-05;1;
6900;8;4.5228e-05;1;
7000;8;4.4424e-05;1;
7100;8;4.562e-05;1;
7200;8;4.5498e-05;1;
7300;8;4.5343e-05;1;
7400;8;4.5649e-05;1;
7500;8;4.5202e-05;1;
7600;8;4.4952e-05;1;
7700;8;4.4658e-05;1;
7800;8;4.282e-05;1;
7900;8;4.4773e-05;1;
8000;8;4.5376e-05;1;
8100;8;4.4928e-05;1;
8200;8;4.4566e-05;1;
8300;8;4.467e-05;1;
8400;8;4.2547e-05;1;
8500;8;4.5963e-05;1;
8600;8;4.5722e-05;1;
8700;8;4.4624e-05;1;
8800;8;4.2094e-05;1;
8900;8;7.9383e-05;1;
9000;8;3.9232e-05;1;
9100;8;4.0344e-05;1;
9200;8;0.000168366;1;
9300;8;4.5791e-05;1;
9400;8;4.5421e-05;1;
9500;8;4.4825e-05;1;
9600;8;4.5715e-05;1;
9700;8;5.2409e-05;1;
9800;8;4.4882e-05;1;
9900;8;4.4162e-05;1;
10000;8;0.000100736;1;
10100;8;0.000143197;1;
10200;8;4.1679e-05;1;
10300;8;4.2756e-05;1;
10400;8;4.3853e-05;1;
10500;8;4.2934e-05;1;
10600;8;0.000626695;1;
10700;8;6.1952e-05;1;
10800;8;4.2635e-05;1;
10900;8;4.454e-05;1;
11000;8;4.2145e-05;1;
11100;8;4.4047e-05;1;
11200;8;4.5752e-05;1;
11300;8;4.425e-05;1;
11400;8;4.3151e-05;1;
11500;8;4.384e-05;1;
11600;8;4.403e-05;1;
11700;8;0.000229182;1;
11800;8;0.000118346;1;
11900;8;3.8441e-05;1;
12000;8;0.00069201;1;
12100;8;4.8854e-05;1;
12200;8;4.1915e-05;1;
12300;8;4.0366e-05;1;
12400;8;4.0286e-05;1;
12500;8;4.4954e-05;1;
12600;8;4.5594e-05;1;
12700;8;4.5014e-05;1;
12800;8;4.5307e-05;1;
12900;8;4.3499e-05;1;
13000;8;4.7991e-05;1;
13100;8;4.6291e-05;1;
13200;8;5.6208e-05;1;
13300;8;4.4155e-05;1;
13400;8;4.3762e-05;1;
13500;8;5.5032e-05;1;
13600;8;4.7679e-05;1;
13700;8;8.383e-05;1;
13800;8;0.00074694;1;
13900;8;0.00152266;1;
14000;8;0.000609044;1;
14100;8;0.000121305;1;
14200;8;6.2306e-05;1;
14300;8;5.8336e-05;1;
14400;8;6.0366e-05;1;
14500;8;5.7668e-05;1;
14600;8;5.61e-05;1;
14700;8;5.7853e-05;1;
14800;8;6.5549e-05;1;
14900;8;0.00258387;1;
15000;8;3.4525e-05;1;
15100;8;4.0878e-05;1;
15200;8;0.319136;1;
15300;8;0.000644931;1;
15400;8;0.000255949;1;
15500;8;0.000192117;1;
15600;8;0.00454222;1;
15700;8;0.00103703;1;
15800;8;0.00100189;1;
15900;8;0.000336745;1;
16000;8;0.000106968;1;
16100;8;0.000161268;1;
16200;8;0.000106409;1;
16300;8;9.7062e-05;1;
16400;8;0.00133539;1;
16500;8;0.000144031;1;
16600;8;9.3791e-05;1;
16700;8;0.000109269;1;
16800;8;8.9037e-05;1;
16900;8;9.0913e-05;1;
17000;8;0.141607;1;
17100;8;0.000146509;1;
17200;8;0.000408162;1;
17300;8;0.000196544;1;
17400;8;0.000120103;1;
17500;8;9.9383e-05;1;
17600;8;0.00219343;1;
17700;8;4.7141e-05;1;
17800;8;4.8053e-05;1;
17900;8;5.7808e-05;1;
18000;8;0.423216;1;
18100;8;0.000312465;1;
18200;8;0.000243778;1;
18300;8;0.000170736;1;
18400;8;0.000142213;1;
18500;8;0.00347441;1;
18600;8;5.9143e-05;1;
18700;8;5.1512e-05;1;
18800;8;4.9458e-05;1;
18900;8;4.7968e-05;1;
19000;8;4.6583e-05;1;
19100;8;4.5528e-05;1;
19200;8;4.8195e-05;1;
19300;8;5.1863e-05;1;
19400;8;7.5559e-05;1;
19500;8;3.3253e-05;1;
19600;8;5.7751e-05;1;
19700;8;5.2825e-05;1;
19800;8;4.8439e-05;1;
19900;8;4.8451e-05;1;
20000;8;0.000279236;1;
20100;8;4.3944e-05;1;
20200;8;3.1052e-05;1;
20300;8;7.6575e-05;1;
20400;8;4.4857e-05;1;
