NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
0;4;0.00271951;0.2;
100;4;0.00177;1;
200;4;1.379e-05;1;
300;4;1.2745e-05;1;
400;4;1.2e-05;1;
500;4;1.3212e-05;1;
600;4;1.2634e-05;1;
700;4;0.000171537;1;
800;4;1.304e-05;1;
900;4;1.2948e-05;1;
1000;4;1.3145e-05;1;
1100;4;1.2474e-05;1;
1200;4;1.2875e-05;1;
1300;4;1.3297e-05;1;
1400;4;1.3326e-05;1;
1500;4;1.3231e-05;1;
1600;4;1.3147e-05;1;
1700;4;1.3244e-05;1;
1800;4;0.00078936;1;
1900;4;0.000461219;1;
2000;4;0.00942484;1;
2100;4;0.000761247;1;
2200;4;0.00769852;1;
2300;4;0.00327423;1;
2400;4;1.4425e-05;1;
2500;4;0.000436977;1;
2600;4;0.00557231;1;
2700;4;0.00222457;1;
2800;4;9.7988e-05;1;
2900;4;1.4022e-05;1;
3000;4;0.00496057;1;
3100;4;0.00285493;1;
3200;4;0.00590024;1;
3300;4;0.00682119;1;
3400;4;0.00770236;1;
3500;4;0.00825226;1;
3600;4;0.00522086;1;
3700;4;0.00313672;1;
3800;4;0.00349806;1;
3900;4;0.0034689;1;
4000;4;0.00439296;1;
4100;4;0.000869013;1;
4200;4;0.00103668;1;
4300;4;0.000604709;1;
4400;4;0.00220155;1;
4500;4;0.00259219;1;
4600;4;0.00415322;1;
4700;4;0.00257178;1;
4800;4;0.00460256;1;
4900;4;0.00475709;1;
5000;4;0.0107728;1;
5100;4;0.00716283;1;
5200;4;0.00572755;1;
5300;4;0.0080246;1;
5400;4;0.00505975;1;
5500;4;0.00565082;1;
5600;4;0.00536467;1;
5700;4;0.0033986;1;
5800;4;0.00476283;1;
5900;4;0.00512768;1;
6000;4;0.00269804;1;
6100;4;0.00438521;1;
6200;4;0.00366536;1;
6300;4;0.00503893;1;
6400;4;0.00434334;1;
6500;4;0.00352972;1;
6600;4;0.00497667;1;
6700;4;0.00236581;1;
6800;4;0.00262006;1;
6900;4;0.00418225;1;
7000;4;0.00531364;1;
7100;4;0.00412593;1;
7200;4;0.00612847;1;
7300;4;0.00422123;1;
7400;4;0.00449379;1;
7500;4;0.00348253;1;
7600;4;0.00314651;1;
7700;4;0.00465156;1;
7800;4;0.00469027;1;
7900;4;0.00530968;1;
8000;4;0.0030883;1;
8100;4;0.00530874;1;
8200;4;0.00936353;1;
8300;4;0.00445035;1;
8400;4;0.0109805;1;
8500;4;0.00193088;1;
8600;4;0.000290973;1;
8700;4;0.00011752;1;
8800;4;6.4484e-05;1;
8900;4;6.1868e-05;1;
9000;4;6.0301e-05;1;
9100;4;5.6051e-05;1;
9200;4;4.5064e-05;1;
9300;4;9.3214e-05;1;
9400;4;5.1181e-05;1;
9500;4;3.9448e-05;1;
9600;4;0.00125052;1;
9700;4;7.4504e-05;1;
9800;4;1.4178e-05;1;
9900;4;1.3202e-05;1;
10000;4;1.3312e-05;1;
10100;4;1.297e-05;1;
10200;4;1.2205e-05;1;
10300;4;1.1409e-05;1;
10400;4;1.3666e-05;1;
10500;4;1.1394e-05;1;
10600;4;1.2377e-05;1;
10700;4;1.2893e-05;1;
10800;4;1.2171e-05;1;
10900;4;1.2373e-05;1;
11000;4;1.1547e-05;1;
11100;4;1.2749e-05;1;
11200;4;1.1774e-05;1;
11300;4;1.2698e-05;1;
11400;4;1.2753e-05;1;
11500;4;1.3075e-05;1;
11600;4;1.2339e-05;1;
11700;4;1.1102e-05;1;
11800;4;1.3592e-05;1;
11900;4;1.2738e-05;1;
12000;4;1.3411e-05;1;
12100;4;1.3179e-05;1;
12200;4;1.3251e-05;1;
12300;4;1.2353e-05;1;
12400;4;1.2837e-05;1;
12500;4;1.3052e-05;1;
12600;4;1.1204e-05;1;
12700;4;1.2482e-05;1;
12800;4;1.2967e-05;1;
12900;4;1.1508e-05;1;
13000;4;1.2695e-05;1;
13100;4;1.1962e-05;1;
13200;4;6.9391e-05;1;
13300;4;1.2843e-05;1;
13400;4;1.2253e-05;1;
13500;4;1.1468e-05;1;
13600;4;0.00405004;1;
13700;4;0.00367134;1;
13800;4;0.00564247;1;
13900;4;0.00748696;1;
14000;4;0.00935894;1;
14100;4;0.00706188;1;
14200;4;0.00452749;1;
14300;4;0.00363725;1;
14400;4;0.00392694;1;
14500;4;0.00455417;1;
14600;4;0.00440768;1;
14700;4;0.00500824;1;
14800;4;0.00294977;1;
14900;4;0.00651436;1;
15000;4;0.00343145;1;
15100;4;0.00201285;1;
15200;4;0.00375803;1;
15300;4;0.00399446;1;
15400;4;0.00341831;1;
15500;4;0.00221425;1;
15600;4;0.00367983;1;
15700;4;0.00629735;1;
15800;4;0.00273229;1;
15900;4;0.00272627;1;
16000;4;0.00292605;1;
16100;4;0.00427409;1;
16200;4;0.0119151;1;
16300;4;1.5361e-05;1;
16400;4;1.3442e-05;1;
16500;4;1.3207e-05;1;
16600;4;1.2756e-05;1;
16700;4;1.2706e-05;1;
16800;4;1.2273e-05;1;
16900;4;1.3054e-05;1;
17000;4;1.2648e-05;1;
17100;4;1.2992e-05;1;
17200;4;1.3117e-05;1;
17300;4;1.2379e-05;1;
17400;4;1.2348e-05;1;
17500;4;1.2509e-05;1;
17600;4;6.7934e-05;1;
17700;4;5.1511e-05;1;
17800;4;1.2741e-05;1;
17900;4;5.3198e-05;1;
18000;4;0.000429092;1;
18100;4;1.1998e-05;1;
18200;4;1.4744e-05;1;
18300;4;8.313e-05;1;
18400;4;1.3002e-05;1;
18500;4;1.3743e-05;1;
18600;4;1.281e-05;1;
18700;4;0.00107347;1;
18800;4;0.000494607;1;
18900;4;0.00462028;1;
19000;4;0.00189903;1;
19100;4;0.00248916;1;
19200;4;0.00292387;1;
19300;4;0.00456918;1;
19400;4;0.00455517;1;
19500;4;0.000524995;1;
19600;4;0.0051396;1;
19700;4;0.0043687;1;
19800;4;0.0056452;1;
19900;4;0.0030422;1;
20000;4;0.00199761;1;
20100;4;0.000515505;1;
20200;4;0.000653107;1;
20300;4;0.00993843;1;
20400;4;0.00506362;1;
20500;4;0.0045633;1;
20600;4;0.00271258;1;
20700;4;0.00475648;1;
20800;4;0.00682675;1;
20900;4;0.00135452;1;
21000;4;0.00386322;1;
21100;4;0.00394463;1;
21200;4;0.00358903;1;
21300;4;0.00313499;1;
21400;4;0.0042383;1;
21500;4;0.00726638;1;
21600;4;0.00213515;1;
21700;4;0.00506957;1;
21800;4;0.00502157;1;
21900;4;0.00562015;1;
22000;4;0.00475536;1;
22100;4;0.00100533;1;
22200;4;0.00225219;1;
22300;4;0.0052408;1;
22400;4;0.00276626;1;
22500;4;0.00862264;1;
22600;4;0.00520437;1;
22700;4;0.00362397;1;
22800;4;0.00627201;1;
22900;4;0.00471019;1;
23000;4;0.00446673;1;
23100;4;0.00485486;1;
23200;4;0.00436772;1;
23300;4;0.000157822;1;
23400;4;0.00634907;1;
23500;4;0.00308234;1;
23600;4;0.00994939;1;
23700;4;0.00490011;1;
23800;4;0.0033439;1;
23900;4;0.00419894;1;
24000;4;0.005739;1;
24100;4;0.0081586;1;
24200;4;0.00654129;1;
