NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
10000;4;0.730883;15.7003;
10000;4;3.125e-06;15.7003;
10000;4;2.13e-06;15.7003;
10000;4;2.024e-06;15.7003;
10000;4;2.067e-06;15.7003;
10000;4;2.041e-06;15.7003;
10000;4;2.103e-06;15.7003;
10000;4;2.185e-06;15.7003;
10000;4;2.132e-06;15.7003;
10000;4;2.038e-06;15.7003;
10000;4;2.049e-06;15.7003;
10000;4;2.054e-06;15.7003;
10000;4;2.119e-06;15.7003;
10000;4;2.028e-06;15.7003;
10000;4;2.081e-06;15.7003;
10000;4;2.082e-06;15.7003;
10000;4;2.101e-06;15.7003;
10000;4;2.062e-06;15.7003;
10000;4;2.061e-06;15.7003;
10000;4;2.082e-06;15.7003;
10000;4;2.055e-06;15.7003;
10000;4;2.055e-06;15.7003;
10000;4;2.097e-06;15.7003;
10000;4;2.067e-06;15.7003;
10000;4;2.083e-06;15.7003;
10000;4;2.042e-06;15.7003;
10000;4;2.184e-06;15.7003;
10000;4;2.062e-06;15.7003;
10000;4;2.05e-06;15.7003;
10000;4;2.058e-06;15.7003;
