NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
10000;1;0.194361;0;
10000;1;4.071e-06;0;
10000;1;1.392e-06;0;
10000;1;1.029e-06;0;
10000;1;1.108e-06;0;
10000;1;1.149e-06;0;
10000;1;1.225e-06;0;
10000;1;1.285e-06;0;
10000;1;9.82e-07;0;
10000;1;1.26e-06;0;
10000;1;1.077e-06;0;
10000;1;1.254e-06;0;
10000;1;8.46e-07;0;
10000;1;7.89e-07;0;
10000;1;9.16e-07;0;
10000;1;7.81e-07;0;
10000;1;7.77e-07;0;
10000;1;7.77e-07;0;
10000;1;7.8e-07;0;
10000;1;7.8e-07;0;
10000;1;7.8e-07;0;
10000;1;7.78e-07;0;
10000;1;7.79e-07;0;
10000;1;7.77e-07;0;
10000;1;8.34e-07;0;
10000;1;7.79e-07;0;
10000;1;7.78e-07;0;
10000;1;7.75e-07;0;
10000;1;7.77e-07;0;
10000;1;7.89e-07;0;
