NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
10000;2;0.436235;0;
10000;2;2.726e-06;0;
10000;2;1.742e-06;0;
10000;2;1.691e-06;0;
10000;2;1.65e-06;0;
10000;2;1.667e-06;0;
10000;2;1.733e-06;0;
10000;2;1.714e-06;0;
10000;2;1.74e-06;0;
10000;2;1.742e-06;0;
10000;2;2.278e-06;0;
10000;2;2.21e-06;0;
10000;2;3.1e-06;0;
10000;2;2.332e-06;0;
10000;2;2.58e-06;0;
10000;2;2.192e-06;0;
10000;2;2.285e-06;0;
10000;2;2.065e-06;0;
10000;2;2.104e-06;0;
10000;2;2.664e-06;0;
10000;2;2.165e-06;0;
10000;2;2.248e-06;0;
10000;2;2.206e-06;0;
10000;2;2.59e-06;0;
10000;2;2.32e-06;0;
10000;2;2.247e-06;0;
10000;2;2.232e-06;0;
10000;2;2.211e-06;0;
10000;2;2.474e-06;0;
10000;2;2.242e-06;0;
